Accession no.,Title,Object type,Artist,Date,Department,Culture,Materials,Technique,Dimensions,Credit line,Location,Credit,Image
1971.166,"Terminus, the Device of Erasmus",Painting,Hans Holbein the Younger,c. 1532,European Painting and Sculpture,Germany,,oil on wood,Framed: 32.4 x 32.4 x 4.5 cm (12 3/4 x 12 3/4 x 1 3/4 in.); Unframed: 21.6 x 21.6 cm (8 1/2 x 8 1/2 in.),Gift of Dr. and Mrs. Sherman E. Lee in memory of Milton S. Fox,114 Late Northern Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1971.166/1971.166_web.jpg
2012.41,The Artist's Studio,Painting,Johann Georg Platzer,1740s–50s,European Painting and Sculpture,Austria,,oil on copper,Framed: 55.6 x 73.3 cm (21 7/8 x 28 7/8 in.); Unframed: 41.9 x 60 cm (16 1/2 x 23 5/8 in.),Mr. and Mrs. William H. Marlatt Fund by exchange,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/2012.41/2012.41_web.jpg
1928.856,Sarcophagus,Sculpture,,c. 100–125 CE,Greek and Roman Art,"Italy, Rome, Roman Empire",,Greek marble,Overall: 210 cm (82 11/16 in.),Gift of the John Huntington Art and Polytechnic Trust,103 Roman,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1928.856/1928.856_web.jpg
1954.834,Virgin and Child Enthroned,Painting,Battista di Biagio Sanguigni,1419,Medieval Art,"Italy, Tuscany",,tempera and gold on wood,Framed: 196.2 x 68.6 x 9.5 cm (77 1/4 x 27 x 3 3/4 in.); Unframed: 196.2 x 68.2 cm (77 1/4 x 26 7/8 in.); with original molding and pinnacle: 129 x 59 cm (50 13/16 x 23 1/4 in.),Gift of the Hanna Fund,117A Italian Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1954.834/1954.834_web.jpg
1972.119,Noah:  The Eve of the Deluge,Painting,John Linnell,1848,Modern European Painting and Sculpture,"England, 19th century",,oil on canvas,Framed: 168.5 x 242.5 x 9.5 cm (66 5/16 x 95 1/2 x 3 3/4 in.); Unframed: 146 x 221 cm (57 1/2 x 87 in.),Mr. and Mrs. William H. Marlatt Fund,203B British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1972.119/1972.119_web.jpg
1953.212,"Under the Trees (from ""The Public Gardens"")",Painting,Édouard Vuillard,1894,Modern European Painting and Sculpture,"France, 19th century",,distemper on fabric,Framed: 229.9 x 113 x 11.4 cm (90 1/2 x 44 1/2 x 4 1/2 in.); Unframed: 214.2 x 96.3 cm (84 5/16 x 37 15/16 in.),Gift of the Hanna Fund,223 20th Century Avant-Garde,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1953.212/1953.212_web.jpg
1957.61,Wine Cup with Children at Play,Ceramic,,1465–87,Chinese Art,"China, Jiangxi province, Jingdezhen, Ming dynasty (1368-1644), Chenghua mark and period (1465-1487)",,"porcelain with underglaze blue and overglaze enamel decoration, docai (""joined colors"") ware",Overall: 4.8 cm (1 7/8 in.),John L. Severance Fund,238 Chinese Ceramics,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1957.61/1957.61_web.jpg
1972.43,Standing Buddha,Sculpture,,150–200 CE,Indian and Southeast Asian Art,"Pakistan, Gandhara, Kushan period",,schist,Overall: 119.7 cm (47 1/8 in.); Head: 1.5 x 3.2 cm (9/16 x 1 1/4 in.),Gift of Morris and Eleanor Everett in memory of Flora Morris Everett,242A Ancient India,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1972.43/1972.43_web.jpg
1938.9,Cranes and Serpents,Sculpture,,475–221 BCE,Chinese Art,"China, reportedly from Hunan province, Changsha, Warring States period (475–221 BCE), State of Chu (c. 1046–223 BCE)",,lacquered wood with polychromy,Overall: 132.1 x 124.5 cm (52 x 49 in.),Purchase from the J. H. Wade Fund,241A Arts of Ancient China,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1938.9/1938.9_web.jpg
1961.219,Saint Jerome,Painting,Jusepe de Ribera,c. 1638–40,European Painting and Sculpture,Spain,,oil on canvas,Framed: 150 x 121.5 x 9 cm (59 1/16 x 47 13/16 x 3 9/16 in.); Unframed: 129 x 100.3 cm (50 13/16 x 39 1/2 in.),Mr. and Mrs. William H. Marlatt Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1961.219/1961.219_web.jpg
1919.1018,British Manufactory; A Sketch,Painting,Benjamin West,1791,American Painting and Sculpture,America,,oil on paper mounted on wood,Framed: 67.4 x 80 x 5.2 cm (26 9/16 x 31 1/2 x 2 1/16 in.); Unframed: 51 x 65 cm (20 1/16 x 25 9/16 in.),Gift of the John Huntington Art and Polytechnic Trust,203B British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1919.1018/1919.1018_web.jpg
1968.212,Terpsichore Lyran (Muse of Lyric Poetry),Sculpture,Antonio Canova,1816,Modern European Painting and Sculpture,"Italy, 19th century",,marble,Overall: 177.5 x 78.1 x 61 cm (69 7/8 x 30 3/4 x 24 in.),Leonard C. Hanna Jr. Fund,200 Rotunda,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1968.212/1968.212_web.jpg
1959.43,Saint Stephen,Sculpture,Tilman Riemenschneider,1502–8,Medieval Art,"Germany, Würzburg, 16th century",,lindenwood with polychromy and gilding,Overall: 93.5 x 35 x 23.5 cm (36 13/16 x 13 3/4 x 9 1/4 in.),Leonard C. Hanna Jr. Fund,111 German and Austrian Gothic,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1959.43/1959.43_web.jpg
1966.443,Flower Study of a Lily of the Valley,Miscellaneous,House of Fabergé,c. 1885–1915,Decorative Art and Design,"Russia, St. Petersburg",,"pearls, diamonds, jade, rock crystal, silver, gold",Overall: 12.1 x 3.1 cm (4 3/4 x 1 1/4 in.),The India Early Minshall Collection,211 Fabergé,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1966.443/1966.443_web.jpg
1969.130,Repository for the Great Perfection of Wisdom Sutra and Eleven Volumes of the Great Perfection of Wisdom Sutra,Lacquer,,late 1100s,Japanese Art,"Japan, Heian period (794–1185)",,"lacquered wood with ink, color, gold, cut gold, and metalwork",height: 160 cm (63 in.),John L. Severance Fund,The Cleveland Museum of Art,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1969.130/1969.130_web.jpg
1961.31,Head Fragment,Jade,,c. 900–300 BCE,Art of the Americas,"Mesoamerica, Mexico, Olmec",,jadeite,Overall: 7.4 x 6.2 x 5 cm (2 15/16 x 2 7/16 x 1 15/16 in.),Purchase from the J. H. Wade Fund,233 Mesoamerican and Intermediate Region,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1961.31/1961.31_web.jpg
1954.393,The Annunciation,Painting,,1380s,Medieval Art,"Netherlands, or possibly France, 14th century",,tempera and oil with gold on wood,Framed: 40.3 x 31.4 x 4.8 cm (15 7/8 x 12 3/8 x 1 7/8 in.),Mr. and Mrs. William H. Marlatt Fund,109 Gothic Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1954.393/1954.393_web.jpg
1931.205,Venus Reclining in a Landscape,Print,Giulio Campagnola,c. 1508–9,Prints,"Italy, late 15th-early 16th Century",,engraving,Platemark: 11.9 x 18.3 cm (4 11/16 x 7 3/16 in.); Sheet: 11.9 x 18.3 cm (4 11/16 x 7 3/16 in.),Gift of The Print Club of Cleveland,101B Prints & Drawings,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1931.205/1931.205_web.jpg
1943.179,Tea Caddy,Silver,Paul Jacques de Lamerie,1741–42,Decorative Art and Design,"England, London",,silver gilt,Overall: 13.4 x 9.6 x 5.8 cm (5 1/4 x 3 3/4 x 2 5/16 in.),The Thomas S. Grasselli Memorial Collection,203A British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1943.179/1943.179_web.jpg
1916.802,Virgin and Child with Angels,Painting,Fra Filippo Lippi,c. 1460,Medieval Art,"Italy, Florence",,tempera and gold on wood panel,Framed: 186.7 x 97.8 x 14 cm (73 1/2 x 38 1/2 x 5 1/2 in.); Unframed: 95 x 53 cm (37 3/8 x 20 7/8 in.),Holden Collection,117A Italian Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1916.802/1916.802_web.jpg
1922.1132,Maine Coast,Painting,Rockwell Kent,1907,American Painting and Sculpture,America,,oil on canvas,Framed: 104.5 x 130.2 x 6.5 cm (41 1/8 x 51 1/4 x 2 9/16 in.); Unframed: 86.4 x 111.7 cm (34 x 44 in.),Hinman B. Hurlbut Collection,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1922.1132/1922.1132_web.jpg
1966.447,Parrot on a Perch,Miscellaneous,House of Fabergé — Mikhail Evlampievich Perkhin,1896–1903,Decorative Art and Design,"Russia, St. Petersburg",,"silver, enamel, jasper, agate, emeralds",Overall: 15.3 x 7.4 cm (6 x 2 15/16 in.),The India Early Minshall Collection,211 Fabergé,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1966.447/1966.447_web.jpg
1977.37.2,Scenes of Witchcraft: Day,Painting,Salvator Rosa,c. 1645–1649,European Painting and Sculpture,"Italy, 17th century",,oil on canvas,Framed: 76.2 x 9.6 cm (30 x 3 3/4 in.); Unframed: 54.5 cm (21 7/16 in.),Purchase from the J. H. Wade Fund,217 Italian Baroque,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1977.37.2/1977.37.2_web.jpg
1971.46,Black-Figure Dinos (Mixing Vessel): Warships (Int.); Heroic Scenes (Top),Ceramic,Antimenes Painter,c. 520–515 BCE,Greek and Roman Art,"Greek, Attic",,ceramic,Diameter: 50.8 cm (20 in.); Overall: 33.6 cm (13 1/4 in.); Diameter of rim: 34 cm (13 3/8 in.),John L. Severance Fund,102B Greek,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1971.46/1971.46_web.jpg
1975.3,The Birth and Naming of John the Baptist,Painting,Juan de Flandes,1496–99,Medieval Art,"Flanders, early 16th Century",,oil on wood,Framed: 99 x 60 x 7.5 cm (39 x 23 5/8 x 2 15/16 in.); Unframed: 88.4 x 49.9 cm (34 13/16 x 19 5/8 in.),John L. Severance Fund,110B Late Gothic,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1975.3/1975.3_web.jpg
1967.134,Descent from the Cross,Sculpture,Adam Lenckhardt,1653,European Painting and Sculpture,Austria,,ivory,Overall: 44.8 x 16.5 x 12.1 cm (17 5/8 x 6 1/2 x 4 3/4 in.),John L. Severance Fund,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1967.134/1967.134_web.jpg
1966.238,John the Baptist,Painting,Robert Campin,c. 1410,Medieval Art,Flanders,,oil on oak panel,Framed: 25 x 20 x 3 cm (9 13/16 x 7 7/8 x 1 3/16 in.); Unframed: 17.3 x 11.6 cm (6 13/16 x 4 9/16 in.),Gift of the John Huntington Art and Polytechnic Trust,112 Northern Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1966.238/1966.238_web.jpg
1919.1016,Jeremiah Belknap,Painting,Joseph Badger,c. 1758,American Painting and Sculpture,America,,oil on canvas,Framed: 121.9 x 97.2 x 7.6 cm (48 x 38 1/4 x 3 in.); Unframed: 107 x 84 cm (42 1/8 x 33 1/16 in.),Gift of the John Huntington Art and Polytechnic Trust,204 Colonial American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1919.1016/1919.1016_web.jpg
1933.2291,Holiday on the Hudson,Painting,George Luks,c. 1912,American Painting and Sculpture,America,,oil on canvas,Framed: 96.5 x 111.5 x 6 cm (38 x 43 7/8 x 2 3/8 in.); Unframed: 76.2 x 91.7 cm (30 x 36 1/8 in.),Hinman B. Hurlbut Collection,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1933.2291/1933.2291_web.jpg
1947.207,Portrait of Isabella Brant,Painting,Peter Paul Rubens,c. 1620–25,European Painting and Sculpture,Flanders,,oil on wood,Framed: 83 x 73.5 x 9 cm (32 11/16 x 28 15/16 x 3 9/16 in.); Unframed: 53 x 46 cm (20 7/8 x 18 1/8 in.),Mr. and Mrs. William H. Marlatt Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1947.207/1947.207_web.jpg
1993.165,"Statuette of a Woman: ""The Stargazer""",Sculpture,,c. 3000 BCE,Egyptian and Ancient Near Eastern Art,"Western Anatolia, early Bronze Age (c. 3300–1200 BCE)",,marble,Overall: 17.2 x 6.5 x 6.3 cm (6 3/4 x 2 9/16 x 2 1/2 in.),Leonard C. Hanna Jr. Fund; John L. Severance Fund,102A Ancient Near East,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1993.165/1993.165_web.jpg
1973.74,"Mirror with Phoenixes, Birds, Butterflies, and Floral Sprays",Metalwork,,700s,Chinese Art,"China, Tang dynasty (618-907)",,bronze with silver and gold inlaid lacquer,Diameter: 19.2 cm (7 9/16 in.),Leonard C. Hanna Jr. Fund,239 Chinese Ceramics and Metalwork,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1973.74/1973.74_web.jpg
1957.40,Brush Washer,Ceramic,,late 1000s–1127,Chinese Art,"China, Henan Province, Baofeng, Qingliangsi, Northern Song dynasty (960-1127)",,"porcelaneous stoneware, Ru ware",Diameter: 12.8 cm (5 1/16 in.); Overall: 3.8 cm (1 1/2 in.),John L. Severance Fund,238 Chinese Ceramics,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1957.40/1957.40_web.jpg
1975.263,The Large Tree,Painting,Paul Gauguin,1891,Modern European Painting and Sculpture,"France, 19th century",,oil on canvas,Framed: 92.4 x 112.7 x 6.4 cm (36 3/8 x 44 3/8 x 2 1/2 in.); Unframed: 74 x 92.8 cm (29 1/8 x 36 9/16 in.),Gift of Barbara Ginn Griesinger,The Cleveland Museum of Art,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1975.263/1975.263_web.jpg
1926.26,Nymphs and a Satyr (Amor Vincit Omnia),Painting,Nicolas Poussin,c. 1625–27,European Painting and Sculpture,France,,oil on canvas,Framed: 121 x 152 x 7 cm (47 5/8 x 59 13/16 x 2 3/4 in.); Unframed: 97 x 127.5 cm (38 3/16 x 50 3/16 in.),Gift of J. H. Wade,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1926.26/1926.26_web.jpg
1962.32,Panel with Royal Woman,Sculpture,K’in Lakam Chahk — Jun Nat Omootz,c. 795,Art of the Americas,"Guatemala or Mexico, Usumacinta River region, Maya style",,limestone,Overall: 60.4 x 69.8 cm (23 3/4 x 27 1/2 in.),Purchase from the J. H. Wade Fund,233 Mesoamerican and Intermediate Region,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1962.32/1962.32_web.jpg
1924.1046,Statue of an Athlete,Sculpture,,1–100 CE,Greek and Roman Art,"Italy, Roman",,marble,Overall: 173.9 cm (68 7/16 in.),Gift of the John Huntington Art and Polytechnic Trust,103 Roman,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1924.1046/1924.1046_web.jpg
1997.15,The Sleeping Faun,Sculpture,Harriet Goodhue Hosmer,"modeled 1864, carved c. 1870",American Painting and Sculpture,America,,marble,Overall: 127 cm (50 in.),Leonard C. Hanna Jr. Fund,206 American Landscape,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1997.15/1997.15_web.jpg
1944.524,The Brierwood Pipe,Painting,Winslow Homer,1864,American Painting and Sculpture,America,,oil on canvas,Framed: 68.9 x 64.1 x 9.2 cm (27 1/8 x 25 1/4 x 3 5/8 in.); Unframed: 42.8 x 37.5 cm (16 7/8 x 14 3/4 in.); Former: 69 x 64 x 8 cm (27 3/16 x 25 3/16 x 3 1/8 in.),Mr. and Mrs. William H. Marlatt Fund,001A ArtLens Exhibition,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1944.524/1944.524_web.jpg
1944.93,Portrait of a Woman,Painting,Gerard ter Borch,c. 1665,European Painting and Sculpture,Netherlands,,oil on canvas,Framed: 87.5 x 77 x 7 cm (34 7/16 x 30 5/16 x 2 3/4 in.); Unframed: 63.3 x 52.7 cm (24 15/16 x 20 3/4 in.),The Elisabeth Severance Prentiss Collection,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1944.93/1944.93_web.jpg
1929.96,The Miracles of Saint James the Greater,Painting,Noël Nicolas Coypel,1726,European Painting and Sculpture,"France, 18th century",,oil on canvas,Framed: 129.5 x 107.5 x 10.5 cm (51 x 42 5/16 x 4 1/8 in.); Unframed: 102 x 80.7 cm (40 3/16 x 31 3/4 in.),Gift of Felix Wildenstein,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1929.96/1929.96_web.jpg
1926.1653,"On the Beach, No. 3",Painting,Maurice Prendergast,c. 1915–18,American Painting and Sculpture,America,,oil on canvas,Framed: 81 x 103 x 6.5 cm (31 7/8 x 40 9/16 x 2 9/16 in.); Unframed: 66 x 85.1 cm (26 x 33 1/2 in.),Hinman B. Hurlbut Collection,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1926.1653/1926.1653_web.jpg
1951.453,Altarpiece with The Passion of Christ,Painting,Master of the Schlägl Altarpiece,c. 1440s,Medieval Art,Germany,,oil and gold on wood,Framed: 88.9 x 157.5 x 8.3 cm (35 x 62 x 3 1/4 in.); Unframed: 74.3 x 69.8 cm (29 1/4 x 27 1/2 in.); Part 1: 84.9 x 81.4 x 8.3 cm (33 7/16 x 32 1/16 x 3 1/4 in.); Part 2: 84.6 x 152.2 x 8.3 cm (33 5/16 x 59 15/16 x 3 1/4 in.); Part 3: 84.6 x 78.7 x 8.3 cm (33 5/16 x 31 x 3 1/4 in.); Panel: 36.2 x 35 cm (14 1/4 x 13 3/4 in.),Mr. and Mrs. William H. Marlatt Fund,111 German and Austrian Gothic,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1951.453/1951.453_web.jpg
1967.29,Front Face of a Stela (Free-standing Stone with Relief),Sculpture,,692,Art of the Americas,"Mesoamerica, Guatemala, Department of the Petén, El Perú (also known as Waka'), Maya (250-900), Classic period (200-1000)",,limestone,Overall: 274.4 x 182.3 cm (108 1/16 x 71 3/4 in.),Purchase from the J. H. Wade Fund,233 Mesoamerican and Intermediate Region,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1967.29/1967.29_web.jpg
1926.211,Melencolia I,Print,Albrecht Dürer,1514,Prints,Germany,,engraving,Platemark: 23.8 x 18.9 cm (9 3/8 x 7 7/16 in.); Sheet: 24.5 x 19.4 cm (9 5/8 x 7 5/8 in.),"Gift of Leonard C. Hanna Jr., in memory of Ralph King",101B Prints & Drawings,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1926.211/1926.211_web.jpg
2017.100,Portrait of Colonel Charles Heathcote,Painting,Joseph Wright of Derby,c. 1771–72,European Painting and Sculpture,England,,Oil on canvas,127 x 100 cm (50 x 39 3/8 in.),John L. Severance Fund,203A British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/2017.100/2017.100_web.jpg
1953.156,The Return of the Holy Family to Nazareth,Painting,Nicolas Poussin,c. 1627,European Painting and Sculpture,France,,oil on canvas,Framed: 159.5 x 124 x 14.5 cm (62 13/16 x 48 13/16 x 5 11/16 in.); Unframed: 134 x 99 cm (52 3/4 x 39 in.),Gift of the Hanna Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1953.156/1953.156_web.jpg
1928.660,Red-Figure Lekythos (Oil Vessel): Warrior Cutting Hair,Ceramic,Oionokles Painter,c. 480–470 BCE,Greek and Roman Art,"Greek, Attic",,ceramic,Overall: 43.5 x 16.5 cm (17 1/8 x 6 1/2 in.),The Charles W. Harkness Endowment Fund,102B Greek,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1928.660/1928.660_web.jpg
1919.1006,Charles Apthorp,Painting,Robert Feke,1748,American Painting and Sculpture,America,,oil on canvas,Framed: 141.5 x 117.5 x 7.5 cm (55 11/16 x 46 1/4 x 2 15/16 in.); Unframed: 127 x 101.5 cm (50 x 39 15/16 in.),Gift of the John Huntington Art and Polytechnic Trust,204 Colonial American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1919.1006/1919.1006_web.jpg
1966.473,Turtle Bell Push,Miscellaneous,House of Fabergé,c. 1895–1915,Decorative Art and Design,"Russia, St. Petersburg",,"agate, gold, silver, diamonds, rubies",Overall: 2.6 x 7.7 x 6.1 cm (1 x 3 1/16 x 2 3/8 in.),The India Early Minshall Collection,001A ArtLens Exhibition,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1966.473/1966.473_web.jpg
1992.70,Tall Clock,Furniture and woodwork,Tiffany & Co.,c. 1880,Decorative Art and Design,"America, New York",,"mahogany, teak with dial faces of gilded and patinated metal, glass",Overall: 247.3 x 66 x 36.5 cm (97 3/8 x 26 x 14 3/8 in.),The Severance and Greta Millikin Purchase Fund,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1992.70/1992.70_web.jpg
1916.2011,Head of Sekhmet,Sculpture,,c. 1391–1353 BCE,Egyptian and Ancient Near Eastern Art,"Egypt, Thebes(?), New Kingdom (1540–1069 BCE), Dynasty 18, reign of Amenhotep III (1390–1352 BCE)",,granodiorite,Overall: 33.4 x 31.5 x 32 cm (13 1/8 x 12 3/8 x 12 5/8 in.),Gift of the John Huntington Art and Polytechnic Trust,107 Egyptian,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1916.2011/1916.2011_web.jpg
1966.432,Hinds House Window,Glass,Tiffany Glass & Decorating Company,c. 1900,Decorative Art and Design,"America, New York",,leaded glass,Unframed: 227.3 x 114.3 cm (89 1/2 x 45 in.),Gift of Mrs. Robert M. Fallon,209 Tiffany,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1966.432/1966.432_web.jpg
1950.90,Café Wepler,Painting,Édouard Vuillard,"c. 1908–10, reworked in 1912",Modern European Painting and Sculpture,"France, late 19th-early 20th Century",,oil on fabric,Framed: 91.8 x 132.7 x 13 cm (36 1/8 x 52 1/4 x 5 1/8 in.); Unframed: 62.2 x 103.2 cm (24 1/2 x 40 5/8 in.),Gift of the Hanna Fund,The Cleveland Museum of Art,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1950.90/1950.90_web.jpg
2003.6.3,"Apollo, God of Light, Eloquence, Poetry, and the Fine Arts with Urania, Muse of Astronomy",Painting,Charles Meynier,1798,Modern European Painting and Sculpture,"France, late 18th century",,oil on canvas,Overall: 275 x 235 cm (108 1/4 x 92 1/2 in.),Severance and Greta Millikin Purchase Fund,219 19th Century European,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/2003.6.3/2003.6.3_web.jpg
2003.6.4,"Calliope, Muse of Epic Poetry",Painting,Charles Meynier,1798,Modern European Painting and Sculpture,"France, late 18th-early 19th century",,oil on canvas,Overall: 275 x 177 cm (108 1/4 x 69 11/16 in.),Severance and Greta Millikin Purchase Fund,219 19th Century European,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/2003.6.4/2003.6.4_web.jpg
1946.164,The Rathskeller,Painting,John Sloan,1901,American Painting and Sculpture,"America, early 20th Century",,oil on canvas,Framed: 110.6 x 89.2 x 7 cm (43 9/16 x 35 1/8 x 2 3/4 in.); Unframed: 90.5 x 69 cm (35 5/8 x 27 3/16 in.),Gift of the Hanna Fund,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1946.164/1946.164_web.jpg
1930.739,Arm Reliquary of the Apostles,Metalwork,,c. 1190,Medieval Art,"Germany, Lower Saxony, Hildesheim, Romanesque period, late 12th century",,"gilt silver, champlevé enamel, oak",Overall: 51 x 14 x 9.2 cm (20 1/16 x 5 1/2 x 3 5/8 in.),Gift of the John Huntington Art and Polytechnic Trust,106C Medieval Treasury,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1930.739/1930.739_web.jpg
1939.68,Lazarus and the Rich Man,Painting,Jacopo Bassano,c. 1550,European Painting and Sculpture,"Italy, 16th century",,oil on canvas,Framed: 176 x 251 x 12 cm (69 5/16 x 98 13/16 x 4 3/4 in.); Unframed: 146 x 221 cm (57 1/2 x 87 in.),Delia E. Holden and L. E. Holden Funds,217 Italian Baroque,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1939.68/1939.68_web.jpg
1950.251,The Annunciation,Painting,Paolo Veronese — Workshop,c. 1580,European Painting and Sculpture,"Italy, 16th century",,oil on canvas,Framed: 176 x 159.5 x 9.5 cm (69 5/16 x 62 13/16 x 3 3/4 in.); Unframed: 150 x 133.4 cm (59 1/16 x 52 1/2 in.),Gift of the Hanna Fund,118 Italian Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1950.251/1950.251_web.jpg
1964.40,"Hours of Charles the Noble, King of Navarre (1361-1425)",Bound Volume,Master of the Brussels Initials and Associates,c. 1404,Medieval Art,"France, Paris",,"ink, tempera, and gold on vellum",Codex: 20.3 x 15.7 x 7 cm (8 x 6 3/16 x 2 3/4 in.),Mr. and Mrs. William H. Marlatt Fund,109 Gothic Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1964.40/1964.40_web.jpg
1971.145,Vase with Golden Pheasants,Ceramic,,1736–95,Chinese Art,"China, Jiangxi province, Jingdezhen kilns, Qing dynasty (1644-1911), Qianlong mark and period (1736-95)",,porcelain painted in polychrome enamels over transparent glaze,Overall: 18.6 x 10.5 cm (7 5/16 x 4 1/8 in.),John L. Severance Fund,238 Chinese Ceramics,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1971.145/1971.145_web.jpg
1970.36,Fragment of a Processional Cross,Metalwork,,c. 1050,Medieval Art,"Byzantium, Constantinople, Byzantine period",,"silver gilt, niello",Overall: 32.3 x 44.8 x 5.7 cm (12 11/16 x 17 5/8 x 2 1/4 in.),Leonard C. Hanna Jr. Fund,105 Byzantine,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1970.36/1970.36_web.jpg
1964.88,Armor for Man and Horse with Völs-Colonna Arms,Arms and Armor,,c. 1575,Medieval Art,"North Italy, 16th century","etched bands (""Pisan"" Style)",steel,,John L. Severance Fund,210A Armor Court,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1964.88/1964.88_web.jpg
