Accession no.,Title,Object type,Artist,Date,Department,Culture,Materials,Technique,Dimensions,Credit line,Location,Credit,Image
1951.355,Portrait of a Family Playing Music,Painting,Pieter de Hooch,1663,European Painting and Sculpture,Netherlands,,oil on canvas,Framed: 124.5 x 142.5 x 7 cm (49 x 56 1/8 x 2 3/4 in.); Unframed: 98.7 x 116.7 cm (38 7/8 x 45 15/16 in.),Gift of the Hanna Fund,"215 French, German, and Dutch",CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1951.355/1951.355_web.jpg
1964.160,A Woman's Work,Painting,John Sloan,1912,American Painting and Sculpture,America,,oil on canvas,Framed: 97.2 x 82.2 x 6.4 cm (38 1/4 x 32 3/8 x 2 1/2 in.); Unframed: 80.3 x 65.4 cm (31 5/8 x 25 3/4 in.),Gift of Amelia Elizabeth White,208 American Gilded Age and Realism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1964.160/1964.160_web.jpg
1946.83,Frieze of Dancers,Painting,Edgar Degas,c. 1895,Modern European Painting and Sculpture,"France, 19th century",,oil on fabric,Framed: 103 x 233.5 x 7 cm (40 9/16 x 91 15/16 x 2 3/4 in.); Unframed: 70 x 200.5 cm (27 9/16 x 78 15/16 in.),Gift of the Hanna Fund,222 Impressionism & Post-Impressionism,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1946.83/1946.83_web.jpg
1962.37,Cupid and Psyche,Painting,Jacques-Louis David,1817,Modern European Painting and Sculpture,"France, 19th century",,oil on canvas,Framed: 221 x 282 x 10 cm (87 x 111 x 3 15/16 in.); Unframed: 184.2 x 241.6 cm (72 1/2 x 95 1/8 in.),Leonard C. Hanna Jr. Fund,201 French Neoclassical Painting & Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1962.37/1962.37_web.jpg
1950.250,"Portrait of a Man, Possibly Girolamo Rosati",Painting,Lorenzo Lotto,1533–34,European Painting and Sculpture,"Italy, 16th century",,oil on canvas,Framed: 135.9 x 128 x 8.6 cm (53 1/2 x 50 3/8 x 3 3/8 in.); Unframed: 108.2 x 100.5 cm (42 5/8 x 39 9/16 in.),Gift of the Hanna Fund,118 Italian Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1950.250/1950.250_web.jpg
1927.393,"Elizabeth Shewell West and Her Son, Raphael",Painting,Benjamin West,c. 1770,American Painting and Sculpture,America,,oil on canvas,Framed: 88 x 87.5 x 9 cm (34 5/8 x 34 7/16 x 3 9/16 in.); Unframed: 66.5 x 66.3 cm (26 3/16 x 26 1/8 in.),The Charles W. Harkness Gift,204 Colonial American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1927.393/1927.393_web.jpg
1942.645,Portrait of the Ladies Amabel and Mary Jemima Yorke,Painting,Joshua Reynolds,c. 1761,European Painting and Sculpture,"England, 18th century",,oil on canvas,Framed: 224.5 x 201.3 x 11.4 cm (88 3/8 x 79 1/4 x 4 1/2 in.); Unframed: 196 x 170 cm (77 3/16 x 66 15/16 in.); Former: 223.5 x 198 x 9 cm (88 x 77 15/16 x 3 9/16 in.),Bequest of John L. Severance,203A British Painting and Decorative Arts,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1942.645/1942.645_web.jpg
1999.173,Portrait of Tieleman Roosterman,Painting,Frans Hals,1634,European Painting and Sculpture,Netherlands,,oil on canvas,Framed: 139 x 109 x 5.5 cm (54 3/4 x 42 15/16 x 2 3/16 in.); Unframed: 117 x 87 cm (46 1/16 x 34 1/4 in.),Leonard C. Hanna Jr. Fund,213 Dutch Painting,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1999.173/1999.173_web.jpg
1964.351,Peregrine Falcons (Duck Hawks),Painting,John James Audubon,c. 1827,American Painting and Sculpture,America,,oil on canvas,Framed: 74.9 x 101 x 10.2 cm (29 1/2 x 39 3/4 x 4 in.); Unframed: 64.5 x 91.5 cm (25 3/8 x 36 in.),Gift of the American Foundation for the Maud E. and Warren H. Corning Botanical Collection,205 Federal American,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1964.351/1964.351_web.jpg
1937.577,The Sacrifice of Isaac,Painting,Andrea del Sarto,c. 1527,European Painting and Sculpture,"Italy, Florence",,oil on wood,Framed: 208 x 171 x 12.5 cm (81 7/8 x 67 5/16 x 4 15/16 in.); Unframed: 178 x 138 cm (70 1/16 x 54 5/16 in.),Delia E. Holden and L. E. Holden Funds,217 Italian Baroque,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1937.577/1937.577_web.jpg
1958.425,Hunting near Hartenfels Castle,Painting,Lucas Cranach,1540,European Painting and Sculpture,Germany,,"oil, originally on wood, transferred to masonite",Framed: 133 x 185.5 x 7.3 cm (52 3/8 x 73 1/16 x 2 7/8 in.); Unframed: 116.8 x 170.2 cm (46 x 67 in.),John L. Severance Fund,114 Late Northern Renaissance,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1958.425/1958.425_web.jpg
1954.392,A Genoese Lady with Her Child,Painting,Anthony van Dyck,c. 1623–25,European Painting and Sculpture,Flanders,,oil on canvas,Framed: 266.5 x 184 x 12 cm (104 15/16 x 72 7/16 x 4 3/4 in.); Unframed: 217.8 x 146 cm (85 3/4 x 57 1/2 in.),Gift of the Hanna Fund,212 Baroque Painting and Sculpture,CC0 — The Cleveland Museum of Art,https://openaccess-cdn.clevelandart.org/1954.392/1954.392_web.jpg
