N° d'inventaire,Titre,Dénomination,Auteur,Datation,Domaine,Matériaux,Technique,Dimensions,Provenance,Localisation,Crédit,Image (URL)
D 1966 1,Juliette,tableau,"COUTURE, Thomas",1876 vers — 1876-1900,Peinture,toile,peinture à l'huile,Hauteur : 46 — Largeur : 38 — Hauteur avec cadre en cm : 70.5,1966 Dépôt : Musée du Louvre Peintures,musée des Augustins,© Bernard Delorme,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/e978e9f5d19444b3c6f62435b4f898e3
D 1910 1,Chrysanthèmes blancs,tableau,"YMART-RACHOU, Mme",1910 vers — 1901-1925,Peinture,toile,peinture à l'huile,Hauteur : 63 — Largeur : 54,1910 Dépôt : Etat,musée des Augustins,© Ville de Toulouse - Archives Municipales,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/6e28486261875f57ef8cb7e53d9710d3
D 1929 2,La Cour de l'école des Beaux-Arts et l'église de,tableau,"CASTEX, Georges",1920,Peinture,toile,peinture à l'huile,Hauteur : 88 — Largeur : 68,1929 Dépôt : Etat,musée des Augustins,,
D 1931 2,Canards couchés,tableau,"RIVIERE, Hélène",1925,Peinture,toile,peinture à l'huile,Hauteur : 50 — Largeur : 65 — Hauteur avec cadre en cm : 55,1931 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,
D 1962 1,Cicéron découvrant le tombeau d'Archimède,tableau,"VALENCIENNES, Pierre Henri de",1787,Peinture,toile,peinture à l'huile,"Hauteur : 119 — Largeur : 162 — Hauteur avec cadre en cm : 133,5",1962 Dépôt : Direction des Musées de France,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/0356465d842d4bcec05635fb8db33e9d
D 2009 3,Le Christ et les deux larrons : Larron aux jambes,sculpture,Anonyme français,1501-1600,Sculpture,bois,,Hauteur : 171 — Largeur : 175,"2009 Dépôt : Maison professe de la Compagnie de Jésus de Lyon,  30 mars 2017",musée des Augustins,© Ville de Toulouse - musée des Augustins,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/7431c4d1b7b353458a3ab6f596253e97
D 1920 3,Fleurs de cerisiers,tableau,"YMART-RACHOU, Mme",,Peinture,toile,peinture à l'huile,Hauteur : 58 — Largeur : 73,1920 Dépôt : Etat,musée des Augustins,,
D 1941 3,Paysage de provence,tableau,"MARCHAND, André",1941 vers — 1926-1950,Peinture,toile,peinture à l'huile,Hauteur : 46 — Largeur : 65,1941 Dépôt : Etat,musée des Augustins,,
D 1952 4,La Vocation de saint Matthieu,tableau,"WAUTIER, Charles — LOON, Theodor van",1650 vers,Peinture,toile,peinture à l'huile,Hauteur : 122 — Largeur : 152,1952 Dépôt : Etat,musée des Augustins,© Photo Daniel Martin,https://data.toulouse-metropole.fr/api/explore/v2.1/catalog/datasets/inventaire-des-oeuvres-deposees-au-musee-des-augustins/files/72e72a4ab7bc59414ccadbe9d18e8c60
D 1959 5,LES MARCHANDS DE QUATRE SAISONS OU BOUCHERIE,tableau,"FABRES, Jacques",1959 avant — 1901-1950,Peinture,toile,peinture à l'huile,Hauteur : 38 — Largeur : 46,1959.2 Dépôt : Direction Générale des Arts et des Lettres,musée des Augustins,,
